Problem Design Point,Solution,material_cost,recourse_cost,salvage_price,Mean Objective Estimate,Standard Error
12_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.125, 1.2094, 1.3001, 1.3976]","[2.4609, 2.6455, 2.8439, 3.0572]","[0.45, 0.4838, 0.52, 0.559]",440.7612161257055,4.784735657734023
13_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.9, 0.9112, 0.9226, 0.9342]","[1.8562, 1.8795, 1.9029, 1.9267]","[0.5175, 0.524, 0.5305, 0.5371]",559.3306461802556,6.162628344253665
13_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.9, 0.9112, 0.9226, 0.9342]","[1.8562, 1.8795, 1.9029, 1.9267]","[0.5175, 0.524, 0.5305, 0.5371]",556.3693523596055,5.733187759981598
14_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.8, 0.91, 1.0351, 1.1775]","[1.7, 1.9338, 2.1996, 2.5021]","[0.35, 0.3981, 0.4529, 0.5151]",510.5014850848111,5.877538145441814
14_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.8, 0.91, 1.0351, 1.1775]","[1.7, 1.9338, 2.1996, 2.5021]","[0.35, 0.3981, 0.4529, 0.5151]",507.5538383602111,5.333967381633786
15_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.95, 1.1044, 1.2838, 1.4925]","[1.425, 1.6566, 1.9258, 2.2387]","[0.5106, 0.5936, 0.6901, 0.8022]",509.42001207197774,6.28580176674748
15_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.95, 1.1044, 1.2838, 1.4925]","[1.425, 1.6566, 1.9258, 2.2387]","[0.5106, 0.5936, 0.6901, 0.8022]",509.3377944156278,5.897377280802424
16_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.975, 0.9994, 1.0244, 1.05]","[1.7062, 1.7489, 1.7926, 1.8374]","[0.4022, 0.4122, 0.4225, 0.4331]",501.82164421127777,6.177288886568882
16_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.975, 0.9994, 1.0244, 1.05]","[1.7062, 1.7489, 1.7926, 1.8374]","[0.4022, 0.4122, 0.4225, 0.4331]",501.1945594128779,5.7482873625193145
17_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.2, 1.395, 1.6217, 1.8852]","[2.25, 2.6156, 3.0407, 3.5348]","[0.54, 0.6278, 0.7298, 0.8483]",416.0098834903889,5.48596184474201
17_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.2, 1.395, 1.6217, 1.8852]","[2.25, 2.6156, 3.0407, 3.5348]","[0.54, 0.6278, 0.7298, 0.8483]",413.51358935770565,4.766575191644686
18_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.9, 1.0575, 1.2426, 1.46]","[1.8562, 2.1811, 2.5628, 3.0113]","[0.36, 0.423, 0.497, 0.584]",463.10384292834993,5.61287859368534
18_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.9, 1.0575, 1.2426, 1.46]","[1.8562, 2.1811, 2.5628, 3.0113]","[0.36, 0.423, 0.497, 0.584]",460.2073390685,4.978343975704055
19_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.975, 0.9872, 0.9995, 1.012]","[1.7062, 1.7276, 1.7492, 1.771]","[0.5119, 0.5183, 0.5248, 0.5313]",536.9928286878778,6.291571520839788
19_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.975, 0.9872, 0.9995, 1.012]","[1.7062, 1.7276, 1.7492, 1.771]","[0.5119, 0.5183, 0.5248, 0.5313]",535.7375194351278,5.907306990081258
20_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.05, 1.1156, 1.1854, 1.2594]","[2.625, 2.7891, 2.9634, 3.1486]","[0.5381, 0.5718, 0.6075, 0.6455]",499.1875086039722,5.502995770396573
20_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.05, 1.1156, 1.1854, 1.2594]","[2.625, 2.7891, 2.9634, 3.1486]","[0.5381, 0.5718, 0.6075, 0.6455]",493.12775935403886,4.761472997887559
21_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.175, 1.2778, 1.3896, 1.5112]","[1.9094, 2.0764, 2.2581, 2.4557]","[0.5434, 0.591, 0.6427, 0.6989]",457.71332837401104,5.893362895688911
21_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.175, 1.2778, 1.3896, 1.5112]","[1.9094, 2.0764, 2.2581, 2.4557]","[0.5434, 0.591, 0.6427, 0.6989]",457.27074926314447,5.400867613011389
22_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.925, 0.9944, 1.069, 1.1491]","[2.1391, 2.2995, 2.472, 2.6574]","[0.3816, 0.4102, 0.4409, 0.474]",491.2911577477889,5.666032894741191
22_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.925, 0.9944, 1.069, 1.1491]","[2.1391, 2.2995, 2.472, 2.6574]","[0.3816, 0.4102, 0.4409, 0.474]",487.4036955129556,5.036175404378311
23_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.875, 1.05, 1.26, 1.512]","[1.5859, 1.9031, 2.2838, 2.7405]","[0.5031, 0.6038, 0.7245, 0.8694]",523.5304209071222,6.011458035717977
23_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.875, 1.05, 1.26, 1.512]","[1.5859, 1.9031, 2.2838, 2.7405]","[0.5031, 0.6038, 0.7245, 0.8694]",521.0341958308221,5.524405772448696
24_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.15, 1.3225, 1.5209, 1.749]","[2.8031, 3.2236, 3.7071, 4.2632]","[0.6469, 0.7439, 0.8555, 0.9838]",471.16753017626934,5.164379143297407
24_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.15, 1.3225, 1.5209, 1.749]","[2.8031, 3.2236, 3.7071, 4.2632]","[0.6469, 0.7439, 0.8555, 0.9838]",463.77444376501313,4.300516160772579
25_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.8, 0.83, 0.8611, 0.8934]","[1.7, 1.7638, 1.8299, 1.8985]","[0.44, 0.4565, 0.4736, 0.4914]",563.5896917613001,6.1868557700899345
25_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.8, 0.83, 0.8611, 0.8934]","[1.7, 1.7638, 1.8299, 1.8985]","[0.44, 0.4565, 0.4736, 0.4914]",560.6454732089001,5.761787223218445
26_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.1, 1.1275, 1.1557, 1.1846]","[2.1312, 2.1845, 2.2391, 2.2951]","[0.66, 0.6765, 0.6934, 0.7107]",534.0098765005222,5.956773618156104
26_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.1, 1.1275, 1.1557, 1.1846]","[2.1312, 2.1845, 2.2391, 2.2951]","[0.66, 0.6765, 0.6934, 0.7107]",530.8459262019388,5.482949834687014
27_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.025, 1.2172, 1.4454, 1.7164]","[2.3062, 2.7387, 3.2522, 3.862]","[0.4869, 0.5782, 0.6866, 0.8153]",451.61268945373666,5.208528147309499
27_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.025, 1.2172, 1.4454, 1.7164]","[2.3062, 2.7387, 3.2522, 3.862]","[0.4869, 0.5782, 0.6866, 0.8153]",445.52055430689273,4.390039131556122
28_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.95, 1.0806, 1.2292, 1.3982]","[1.425, 1.6209, 1.8438, 2.0973]","[0.4631, 0.5268, 0.5992, 0.6816]",499.49733953512214,6.284931103025944
28_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.95, 1.0806, 1.2292, 1.3982]","[1.425, 1.6209, 1.8438, 2.0973]","[0.4631, 0.5268, 0.5992, 0.6816]",499.78591835987226,5.893600782330223
29_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.825, 0.9178, 1.0211, 1.1359]","[1.9594, 2.1798, 2.425, 2.6978]","[0.4434, 0.4933, 0.5488, 0.6106]",536.5876825850611,5.738362678822163
29_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.825, 0.9178, 1.0211, 1.1359]","[1.9594, 2.1798, 2.425, 2.6978]","[0.4434, 0.4933, 0.5488, 0.6106]",531.7174730285445,5.161020079643605
30_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.075, 1.2094, 1.3605, 1.5306]","[1.8141, 2.0408, 2.2959, 2.5829]","[0.6316, 0.7105, 0.7993, 0.8992]",510.54190444322774,5.948673627793953
30_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.075, 1.2094, 1.3605, 1.5306]","[1.8141, 2.0408, 2.2959, 2.5829]","[0.6316, 0.7105, 0.7993, 0.8992]",508.61385449311115,5.496976485547072
31_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.125, 1.125, 1.125, 1.125]","[2.4609, 2.4609, 2.4609, 2.4609]","[0.4781, 0.4781, 0.4781, 0.4781]",479.60013993368875,5.719346281054139
31_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.125, 1.125, 1.125, 1.125]","[2.4609, 2.4609, 2.4609, 2.4609]","[0.4781, 0.4781, 0.4781, 0.4781]",476.2949154479556,5.099225901038956
32_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.85, 0.8925, 0.9371, 0.984]","[1.3281, 1.3945, 1.4643, 1.5375]","[0.3719, 0.3905, 0.41, 0.4305]",528.7150180946667,6.459045228298833
32_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.85, 0.8925, 0.9371, 0.984]","[1.3281, 1.3945, 1.4643, 1.5375]","[0.3719, 0.3905, 0.41, 0.4305]",528.9308065447166,6.126863512299717
33_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.125, 1.2094, 1.3001, 1.3976]","[1.9688, 2.1164, 2.2751, 2.4458]","[0.6609, 0.7105, 0.7638, 0.8211]",515.0442919737778,5.958593627197903
33_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.125, 1.2094, 1.3001, 1.3976]","[1.9688, 2.1164, 2.2751, 2.4458]","[0.6609, 0.7105, 0.7638, 0.8211]",512.8199154334111,5.49889238816038
34_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.15, 1.2794, 1.4233, 1.5834]","[1.725, 1.9191, 2.135, 2.3751]","[0.5319, 0.5917, 0.6583, 0.7323]",456.48270213486666,6.07885731752999
34_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.15, 1.2794, 1.4233, 1.5834]","[1.725, 1.9191, 2.135, 2.3751]","[0.5319, 0.5917, 0.6583, 0.7323]",457.03845509351675,5.616365442026785
35_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.825, 0.8662, 0.9096, 0.955]","[1.7531, 1.8408, 1.9328, 2.0295]","[0.4641, 0.4873, 0.5116, 0.5372]",559.8462001534556,6.130059086225799
35_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.825, 0.8662, 0.9096, 0.955]","[1.7531, 1.8408, 1.9328, 2.0295]","[0.4641, 0.4873, 0.5116, 0.5372]",556.6627031003056,5.6850271557051135
36_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.925, 1.11, 1.332, 1.5984]","[1.9078, 2.2894, 2.7473, 3.2967]","[0.3931, 0.4718, 0.5661, 0.6793]",456.79506983541665,5.540971708475118
36_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.925, 1.11, 1.332, 1.5984]","[1.9078, 2.2894, 2.7473, 3.2967]","[0.3931, 0.4718, 0.5661, 0.6793]",453.50125688261664,4.869822318984408
37_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.975, 0.9994, 1.0244, 1.05]","[1.7672, 1.8114, 1.8567, 1.9031]","[0.39, 0.3998, 0.4097, 0.42]",497.60526130946675,6.112607014998289
37_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.975, 0.9994, 1.0244, 1.05]","[1.7672, 1.8114, 1.8567, 1.9031]","[0.39, 0.3998, 0.4097, 0.42]",496.70968601776667,5.660306741305079
38_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.95, 1.1044, 1.2838, 1.4925]","[1.4844, 1.7256, 2.006, 2.332]","[0.5225, 0.6074, 0.7061, 0.8209]",512.9359930731778,6.22919342024051
38_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.95, 1.1044, 1.2838, 1.4925]","[1.4844, 1.7256, 2.006, 2.332]","[0.5225, 0.6074, 0.7061, 0.8209]",512.3304377672279,5.820960057548955
39_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.2, 1.275, 1.3547, 1.4394]","[2.85, 3.0281, 3.2174, 3.4185]","[0.585, 0.6216, 0.6604, 0.7017]",461.2010975504003,5.214121952457589
39_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.2, 1.275, 1.3547, 1.4394]","[2.85, 3.0281, 3.2174, 3.4185]","[0.585, 0.6216, 0.6604, 0.7017]",455.0546934481876,4.419194652608484
40_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.1, 1.3063, 1.5512, 1.842]","[2.5438, 3.0207, 3.5871, 4.2597]","[0.5775, 0.6858, 0.8144, 0.9671]",454.692418922974,5.163117785822032
40_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.1, 1.3063, 1.5512, 1.842]","[2.5438, 3.0207, 3.5871, 4.2597]","[0.5775, 0.6858, 0.8144, 0.9671]",448.068190995068,4.3160117051521265
41_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.875, 0.9844, 1.1074, 1.2458]","[1.9688, 2.2148, 2.4917, 2.8032]","[0.3609, 0.4061, 0.4568, 0.5139]",487.69658022776673,5.6469502395261895
41_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.875, 0.9844, 1.1074, 1.2458]","[1.9688, 2.2148, 2.4917, 2.8032]","[0.3609, 0.4061, 0.4568, 0.5139]",483.96854200026667,5.01933432975338
42_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.85, 0.9244, 1.0053, 1.0932]","[2.125, 2.3109, 2.5131, 2.733]","[0.4569, 0.4969, 0.5403, 0.5876]",536.8554925342,5.694358795169919
42_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.85, 0.9244, 1.0053, 1.0932]","[2.125, 2.3109, 2.5131, 2.733]","[0.4569, 0.4969, 0.5403, 0.5876]",531.4436761967,5.082945977687997
43_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.175, 1.3512, 1.5539, 1.787]","[2.2031, 2.5336, 2.9136, 3.3507]","[0.5141, 0.5912, 0.6798, 0.7818]",421.51477380145553,5.531535296882448
43_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.175, 1.3512, 1.5539, 1.787]","[2.2031, 2.5336, 2.9136, 3.3507]","[0.5141, 0.5912, 0.6798, 0.7818]",419.2323582148222,4.8368241266079135
44_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.075, 1.075, 1.075, 1.075]","[2.0828, 2.0828, 2.0828, 2.0828]","[0.6181, 0.6181, 0.6181, 0.6181]",535.948509702761,6.009155171367341
44_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.075, 1.075, 1.075, 1.075]","[2.0828, 2.0828, 2.0828, 2.0828]","[0.6181, 0.6181, 0.6181, 0.6181]",533.1591668401944,5.563135943932265
45_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.025, 1.2044, 1.4151, 1.6628]","[2.2422, 2.6346, 3.0956, 3.6374]","[0.615, 0.7226, 0.8491, 0.9977]",502.72303363900204,5.280832976609466
45_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.025, 1.2044, 1.4151, 1.6628]","[2.2422, 2.6346, 3.0956, 3.6374]","[0.615, 0.7226, 0.8491, 0.9977]",496.66119969338484,4.607892393633523
46_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[1.05, 1.0894, 1.1302, 1.1726]","[2.5594, 2.6554, 2.7549, 2.8582]","[0.4725, 0.4902, 0.5086, 0.5277]",487.5411615862722,5.567194976737237
46_b,"(48.3686, 73.9203, 106.1471, 52.428)","[1.05, 1.0894, 1.1302, 1.1726]","[2.5594, 2.6554, 2.7549, 2.8582]","[0.4725, 0.4902, 0.5086, 0.5277]",482.5594259307889,4.861591645699039
47_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.8, 0.91, 1.0351, 1.1775]","[1.3, 1.4788, 1.6821, 1.9134]","[0.41, 0.4664, 0.5305, 0.6034]",536.7249531250222,6.372218713478933
47_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.8, 0.91, 1.0351, 1.1775]","[1.3, 1.4788, 1.6821, 1.9134]","[0.41, 0.4664, 0.5305, 0.6034]",536.1220745434222,6.009697878835224
48_a,"(45.0808, 77.2949, 119.5386, 50.0416)","[0.9, 0.9112, 0.9226, 0.9342]","[1.5188, 1.5377, 1.557, 1.5764]","[0.4275, 0.4328, 0.4383, 0.4437]",537.1910288923223,6.392722754795375
48_b,"(48.3686, 73.9203, 106.1471, 52.428)","[0.9, 0.9112, 0.9226, 0.9342]","[1.5188, 1.5377, 1.557, 1.5764]","[0.4275, 0.4328, 0.4383, 0.4437]",536.6054653466222,6.041051746156308
