solver,problem,mrep,,,,,,,
ASTRODF_0,CNTNEWS-1_9,7,"(20, 20, 20, 20)","(22.109347229811302, 22.109347201270683, 22.109347201270694, 24.274896447255095)","(25.938544968643527, 26.038009753636018, 26.038009753635592, 31.09629728744717)","(36.01271606652638, 39.64385563868141, 39.64385518022418, 43.849528830725674)","(53.97315796909437, 77.20675902123415, 89.8588991918894, 54.62538676659569)","(53.97315796909437, 77.20675902123415, 89.8588991918894, 54.62538676659569)",
ASTRODF_0,CNTNEWS-1_9,8,"(20, 20, 20, 20)","(22.109347221636337, 22.109347202609246, 22.109347202609246, 24.274896449967876)","(25.821953077809702, 25.853812305508725, 25.853812305508765, 31.36274263829659)","(35.28461708161179, 38.247916700472885, 38.2479165882176, 46.7770948904328)","(53.0897942271877, 79.68271263410446, 86.15273332993218, 53.29482677397559)","(50.35485914081037, 80.255132245433, 112.89309240008888, 90.0942001154252)",
ASTRODF_0,CNTNEWS-1_9,9,"(20, 20, 20, 20)","(22.109347207894093, 22.10934718886699, 22.109347093731643, 24.27489651725255)","(25.768146136484738, 25.801113285653063, 25.801113567974408, 31.44552810957306)","(34.97200113462429, 38.85926482386369, 38.859262988215626, 45.88957101392373)","(53.538079936110385, 78.48857314225074, 87.609755823104, 54.80175546605246)","(53.538079936110385, 78.48857314225074, 87.609755823104, 54.80175546605246)",
ASTRODF_0,CNTNEWS-1_25,0,"(20, 20, 20, 20)","(22.289965698013695, 22.375966623135238, 22.465020844392118, 23.828483844299747)","(28.338881192639164, 29.179061563458102, 29.144109641704127, 33.33737381266262)","(42.23573653333952, 52.60127153714866, 53.043653805761785, 47.069134696365005)","(77.43643550634494, 119.83636181544482, 117.84763929755812, 66.73832965749502)","(77.43643550634494, 119.83636181544482, 117.84763929755812, 66.73832965749502)",
ASTRODF_0,CNTNEWS-1_25,1,"(20, 20, 20, 20)","(22.289965690880184, 22.375966624606598, 22.465020845918627, 23.828483846670583)","(28.31531337849455, 28.733764425515854, 28.980901821677456, 33.76415606835922)","(42.33759537051826, 52.879123251214, 53.27810697907985, 45.23128531165587)","(80.10182771977469, 118.82865439132155, 117.58760428250515, 66.08532551998876)","(80.10182771977469, 118.82865439132155, 117.58760428250515, 66.08532551998876)",
ASTRODF_0,CNTNEWS-1_25,2,"(20, 20, 20, 20)","(22.289965698013706, 22.375966623135238, 22.46502084439211, 23.82848384429974)","(26.215881749367256, 26.59809058841711, 26.6984018062722, 30.223980827136273)","(37.50612980142775, 39.78077643506172, 40.297955493557026, 42.39653776575841)","(59.46142259786069, 80.90730209730481, 86.15207664892891, 52.1532032542477)","(59.46142259786069, 80.90730209730481, 86.15207664892891, 52.1532032542477)",
ASTRODF_0,CNTNEWS-1_25,3,"(20, 20, 20, 20)","(22.30944803101828, 22.396180634852122, 22.485992502725082, 23.790433489096458)","(28.55515616711782, 29.85441594099543, 29.376237172866233, 32.49624071206127)","(44.01793188386692, 52.92201783498828, 53.3786111393601, 44.91180878586569)","(79.93272278981026, 89.28956695364641, 139.5830504214058, 62.301580271170685)","(62.371037667812985, 84.4976624603837, 158.1059852083525, 74.96328203951067)","(62.371037667812985, 84.4976624603837, 158.1059852083525, 74.96328203951067)"
ASTRODF_0,CNTNEWS-1_25,4,"(20, 20, 20, 20)","(22.365632964015226, 22.454475615055735, 22.54647245220168, 23.676626821765176)","(28.81755152868952, 29.68742584802726, 29.47580052233871, 32.39111391393284)","(43.34272255613432, 52.452623373706544, 52.95693789867256, 47.25292243049447)","(78.77303558749799, 122.24206822076606, 115.31484206450921, 65.46551240122143)","(50.12574516997016, 95.45874100807836, 165.62190210948822, 82.85530216397692)",
ASTRODF_0,CNTNEWS-1_25,5,"(20, 20, 20, 20)","(22.289965690880166, 22.375966624606605, 22.465020845918644, 23.828483846670576)","(28.40233299510068, 29.723430168394476, 29.328246913492766, 32.74198867795623)","(43.71714943828841, 52.966656424139835, 53.50600827030095, 44.6632580289042)","(80.02241658728256, 87.9198813289749, 139.92766309381997, 63.03654196279541)","(80.02241658728256, 87.9198813289749, 139.92766309381997, 63.03654196279541)",
ASTRODF_0,CNTNEWS-1_25,6,"(20, 20, 20, 20)","(22.28996569088019, 22.375966624606622, 22.465020845918616, 23.828483846670572)","(28.398930135681034, 29.6013680761052, 29.28739857676412, 32.8744765724847)","(42.02344889054275, 52.554748231567025, 53.07891231852795, 47.80600960300967)","(77.26595623560732, 119.21749167202358, 118.06679748010166, 68.70336432100477)","(77.26595623560732, 119.21749167202358, 118.06679748010166, 68.70336432100477)",
ASTRODF_0,CNTNEWS-1_25,7,"(20, 20, 20, 20)","(22.289965712280733, 22.37596662019253, 22.46502084133911, 23.828483839558046)","(25.568530704850396, 25.77765990437665, 25.994213873805908, 37.360851923171445)","(37.6500085895507, 50.74808642386077, 51.309111410141014, 46.907769274354465)","(73.79117616839349, 121.2458506049304, 114.21426521149661, 57.53336176111823)","(73.79117616839349, 121.2458506049304, 114.21426521149661, 57.53336176111823)",
ASTRODF_0,CNTNEWS-1_25,8,"(20, 20, 20, 20)","(22.28996570514722, 22.3759666216639, 22.465020842865606, 23.828483841928886)","(28.228785580590227, 30.15626044858589, 29.48310044333266, 32.36339451494054)","(42.41203462804128, 52.34391339314131, 52.76904843336138, 48.66615827157211)","(75.83957529459019, 87.54013198135571, 140.40528607572327, 66.26717849560998)","(75.83957529459019, 87.54013198135571, 140.40528607572327, 66.26717849560998)",
ASTRODF_0,CNTNEWS-1_25,9,"(20, 20, 20, 20)","(22.28996569605843, 22.375966612233775, 22.465020741029974, 23.828483918785846)","(28.337499586307082, 29.81099386469685, 29.362785470844383, 32.686770454822664)","(42.307607090287185, 52.72302684886385, 53.3314118933431, 47.06911257658088)","(77.49674622110531, 87.29220304107528, 140.22129261154714, 66.11971656592235)","(45.524937183416604, 80.86875475858186, 120.56882626168816, 60.62106622301869)",
ASTRODF_0,CNTNEWS-1_5_0m4,0,"(20, 20, 20, 20)","(25.18384504689305, 21.4919738543694, 21.585188785927492, 20.108248151642428)","(38.06770995307463, 26.420944121763753, 26.831127192682445, 20.411731983033565)","(64.60859899892543, 45.83179461199647, 47.19693875173696, 18.06529040658777)","(56.99985651949545, 67.92305987750825, 78.08950952490075, 16.967982562589743)","(56.99985651949545, 67.92305987750825, 78.08950952490075, 16.967982562589743)",
ASTRODF_0,CNTNEWS-1_5_0m4,1,"(20, 20, 20, 20)","(25.161568873980205, 21.5277343960454, 21.623183560083532, 20.110842709534193)","(37.78435077602818, 26.763054648952608, 27.194488290538974, 20.454437709806346)","(63.566480963496474, 46.712352060769206, 47.94374440737528, 17.582566717199352)","(56.819735925863576, 68.49970827624742, 79.25942555998998, 16.81274133847118)","(56.819735925863576, 68.49970827624742, 79.25942555998998, 16.81274133847118)",
ASTRODF_0,CNTNEWS-1_5_0m4,2,"(20, 20, 20, 20)","(25.20006388797983, 21.465288594095433, 21.55683629488888, 20.106312038558208)","(38.250793815638104, 26.190121863968912, 26.58196087517152, 20.163029768042662)","(65.89524442489608, 44.79172664846003, 45.93160972757498, 16.060869864833418)","(60.08883909682631, 68.5775638923057, 75.73829587126765, 12.379424287920887)","(65.23507719806327, 95.65801677227988, 129.85215270922595, 38.51512298820187)",
ASTRODF_0,CNTNEWS-1_5_0m4,3,"(20, 20, 20, 20)","(25.23685179829723, 21.403366186576623, 21.491045124548336, 20.07421339022637)","(38.44032067083095, 25.928621394138087, 26.2957782975602, 20.149772609437925)","(67.4434784768608, 43.67104943158176, 44.55953149833625, 16.69573435476735)","(61.096465298127534, 67.43570806488557, 74.36898104522572, 13.898393100665809)","(66.61603644696815, 95.50114697656646, 128.52494135060346, 38.80253692533849)",
ASTRODF_0,CNTNEWS-1_5_0m4,4,"(20, 20, 20, 20)","(25.211309197909046, 21.448231273379673, 21.538713273873867, 19.995451914487862)","(38.30465462286638, 26.11815551202018, 26.50180400600512, 19.83880392146805)","(65.45276939942073, 44.95428470819184, 46.5022726364405, 16.735042948703907)","(58.50610369295504, 68.18585973564292, 76.64103626020459, 14.462453859950163)","(58.50610369295504, 68.18585973564292, 76.64103626020459, 14.462453859950163)",
ASTRODF_0,CNTNEWS-1_5_0m4,5,"(20, 20, 20, 20)","(25.174693310795664, 21.506786778150204, 21.600927185494857, 20.109322883357727)","(38.08776425536331, 26.406218695653656, 26.807891572390222, 20.300065015284854)","(65.52576891945198, 45.61309040019135, 45.949513397640274, 16.650096535022215)","(59.4068587613865, 66.80104827868182, 77.74326500284198, 14.58643112791433)","(59.4068587613865, 66.80104827868182, 77.74326500284198, 14.58643112791433)",
ASTRODF_0,CNTNEWS-1_5_0m4,6,"(20, 20, 20, 20)","(25.116960220951963, 21.596502452647076, 21.69624807916727, 20.11583208317326)","(37.669007325096295, 26.915557977872226, 27.355662264944392, 20.275481416763153)","(62.7362921453888, 47.465386005369105, 48.46020096409353, 17.950352881891266)","(54.179326320063026, 66.60625934127019, 81.02889757164102, 16.87458259152043)","(46.270166556282675, 72.64506919451867, 98.11198529361172, 32.479645596727465)",
ASTRODF_0,CNTNEWS-1_5_0m4,7,"(20, 20, 20, 20)","(25.036602206838484, 21.71205758551188, 21.819022818307094, 20.124216030055962)","(37.09232190046869, 27.550505765470376, 28.019202365601554, 19.949247116116798)","(60.8440469151439, 47.690113890344435, 50.647575769837644, 15.512983247596065)","(53.627264634802714, 71.30834984473202, 80.5017890031851, 14.969924532748763)","(53.627264634802714, 71.30834984473202, 80.5017890031851, 14.969924532748763)",
ASTRODF_0,CNTNEWS-1_5_0m4,8,"(20, 20, 20, 20)","(25.12370084527825, 21.586340115935776, 21.685450824144063, 20.11509476853323)","(37.67989476162216, 26.906576063280905, 27.333257716740093, 20.315235031017103)","(63.00622416637225, 46.540336570750526, 48.99644355016234, 18.019403287845595)","(55.97595098788189, 61.60727888859034, 67.67276019462196, 21.04092855636264)","(55.97595098788189, 61.60727888859034, 67.67276019462196, 21.04092855636264)",
ASTRODF_0,CNTNEWS-1_5_0m4,9,"(20, 20, 20, 20)","(25.065928948442796, 21.671021829325152, 21.775423246948147, 20.121238736086998)","(37.4038192884773, 27.220121188420816, 27.679116458722135, 20.297476480054005)","(62.18337728686262, 47.70043296619407, 49.11450315020301, 17.37745783191706)","(55.09163390948821, 66.5658957315878, 82.20938369331058, 17.328991520205808)","(55.09163390948821, 66.5658957315878, 82.20938369331058, 17.328991520205808)",
ASTRODF_0,CNTNEWS-1_9_0m4,0,"(20, 20, 20, 20)","(22.58256886467833, 22.582568853030462, 22.582568853030473, 23.407901245575005)","(26.989077420866742, 26.989077192243016, 26.989078188132527, 29.222631310394007)","(27.782517520309078, 27.771275589513948, 28.406492600406814, 30.269654593553877)","(38.84122934211271, 42.24755247924984, 42.75754556709806, 40.09622516150591)","(55.69982448837457, 80.54504068550482, 93.94262887861271, 39.46665674620616)",
ASTRODF_0,CNTNEWS-1_9_0m4,1,"(20, 20, 20, 20)","(22.582568855487168, 22.582568855487136, 22.582568855487136, 23.407901248816817)","(24.44431866381214, 24.444318663812112, 24.444318663812115, 25.86462500994755)","(24.44431866381214, 24.444318663812112, 24.444318663812115, 25.86462500994755)",,,
ASTRODF_0,CNTNEWS-1_9_0m4,2,"(20, 20, 20, 20)","(22.582568864678347, 22.582568853030466, 22.582568853030477, 23.407901245574987)","(25.825502954436068, 25.3367711441823, 25.33677113176034, 27.042286197300495)","(33.328810278645605, 35.11900607460355, 35.11900536506886, 31.552084906479593)","(41.28383063198895, 44.76627098890445, 44.766267812217144, 35.8649018693417)",,
ASTRODF_0,CNTNEWS-1_9_0m4,3,"(20, 20, 20, 20)","(22.611388407089372, 22.61138840708934, 22.611388407089354, 23.341366242069512)","(24.533494511711908, 24.533494511711847, 24.533494912560712, 25.65444892793894)","(24.533494511711908, 24.533494511711847, 24.533494912560712, 25.65444892793894)",,,
ASTRODF_0,CNTNEWS-1_9_0m4,4,"(20, 20, 20, 20)","(22.69362456134266, 22.693624549193895, 22.693624549193885, 23.139416649662067)","(25.876789724519533, 25.620201411116447, 25.62020142431586, 26.550338980907146)","(33.65573214418123, 34.05361408883703, 34.053613673376454, 34.62903289170492)","(48.51263405503933, 62.25913124861738, 62.56751443328859, 38.814571605013)",,
ASTRODF_0,CNTNEWS-1_9_0m4,5,"(20, 20, 20, 20)","(22.582568855487185, 22.58256885548716, 22.58256885548716, 23.407901248816767)","(29.405257625526982, 30.10941690444911, 30.109416904509445, 31.026610448078635)","(45.76367512322328, 54.76525545345807, 54.76525421044132, 35.27554746674674)","(83.63765720390779, 77.33920115635746, 145.86115341825862, 45.45375670179396)","(83.63765720390779, 77.33920115635746, 145.86115341825862, 45.45375670179396)",
ASTRODF_0,CNTNEWS-1_9_0m4,6,"(20, 20, 20, 20)","(22.58256885548718, 22.582568855487153, 22.58256885548714, 23.407901248816795)","(25.825502943934932, 25.33677113794951, 25.336771137949526, 27.042286205467654)","(33.357662861369704, 32.940092279332966, 32.66021805296338, 37.03454980838923)","(46.68385696625299, 61.40212515747896, 61.837162302354805, 39.84010909246373)",,
ASTRODF_0,CNTNEWS-1_9_0m4,7,"(20, 20, 20, 20)","(22.582568883060652, 22.58256884811709, 22.58256884811709, 23.407901239091444)","(25.82550297543833, 25.336771156647778, 25.336771119381922, 27.042286180966315)","(32.91599479373594, 35.59246395629738, 35.592461871606105, 29.760489667964702)","(39.97486577784744, 45.431144021967214, 45.44594018415924, 34.69037933886216)",,
ASTRODF_0,CNTNEWS-1_9_0m4,8,"(20, 20, 20, 20)","(22.582568873869487, 22.582568850573768, 22.582568850573768, 23.407901242333242)","(25.825502964937193, 25.33677115041501, 25.336771125571094, 27.042286189133456)","(33.16541019119087, 34.612529747772044, 34.61252836631064, 33.5283114737381)","(40.076231594037345, 43.954743496463394, 43.966909888729056, 40.272291617012186)",,
ASTRODF_0,CNTNEWS-1_9_0m4,9,"(20, 20, 20, 20)","(22.582568866018484, 22.58256884272275, 22.582568726244244, 23.407901348451663)","(26.989077046222725, 26.98907254351595, 26.989076969596987, 29.222636040620877)","(37.648364605454255, 41.565255092369426, 41.56525700892871, 39.011475431417864)","(55.51047820340931, 75.56780492985831, 95.36922854350837, 37.95171476078718)","(49.95535301818089, 72.05663373027919, 111.0045591245054, 61.575609668493655)",
ASTRODF_0,CNTNEWS-1_25_0m4,0,"(20, 20, 20, 20)","(22.623212899428548, 22.7217291070457, 22.823742941642532, 23.059443928778506)","(29.5040185311911, 30.183192723813313, 30.336090668160395, 30.704468533736772)","(45.03852984634349, 54.217457302591484, 54.695875044925174, 40.14406418731964)","(84.41560528761863, 122.63961824859729, 118.06246111764821, 50.07431743775882)","(76.28312770197992, 113.84309963519428, 120.6461578167679, 70.70259608542523)","(76.28312770197992, 113.84309963519428, 120.6461578167679, 70.70259608542523)"
ASTRODF_0,CNTNEWS-1_25_0m4,1,"(20, 20, 20, 20)","(22.623212891764133, 22.72172910925742, 22.82374294393714, 23.059443931264678)","(29.509280984539895, 29.868930213765605, 30.236929042231402, 31.08720510648699)","(45.25196124149608, 54.409052197351635, 54.74787777797966, 38.20308875227569)","(87.19401949430573, 121.6005542886183, 117.35293870735777, 50.56644109800905)","(78.0299182759156, 111.3991768982241, 115.77395250121899, 73.36027775623855)","(85.53767783862114, 114.34970073394447, 124.44264282085706, 83.8350205787717)"
ASTRODF_0,CNTNEWS-1_25_0m4,2,"(20, 20, 20, 20)","(22.623212899428555, 22.721729107045682, 22.82374294164253, 23.059443928778517)","(29.467010153730982, 31.358340359457458, 30.638828002772176, 29.008941867680804)","(47.05411646016367, 54.50417895709469, 54.97140469646227, 37.031506012203096)","(85.69935248669427, 82.20508324947338, 144.3841582530644, 46.55229769268957)","(85.69935248669427, 82.20508324947338, 144.3841582530644, 46.55229769268957)",
ASTRODF_0,CNTNEWS-1_25_0m4,3,"(20, 20, 20, 20)","(22.64392540809553, 22.743219495646606, 22.84603881707254, 23.001207238517765)","(29.66812790494892, 30.795547289816284, 30.514160507114568, 29.703535277798252)","(46.88733416324493, 54.282149445542615, 54.825051795618265, 37.59853346654844)","(87.44873031166438, 126.60114246702818, 112.95405919279986, 47.18160337271031)","(65.7164378999883, 82.29227565444616, 154.41707074909525, 32.4687041271222)",
ASTRODF_0,CNTNEWS-1_25_0m4,4,"(20, 20, 20, 20)","(22.702387639412656, 22.803877298069192, 22.908970150320567, 22.827727428510325)","(29.944877067313204, 30.40010628245473, 30.619001439646247, 29.77753063738799)","(45.679837963216144, 53.354219515917876, 49.39576532715481, 49.127590218987066)","(86.37362829478994, 104.17934498940059, 113.82790454087947, 93.34751586746054)","(58.44073271031313, 91.3589497574325, 140.91320587564658, 41.4534294492785)",
ASTRODF_0,CNTNEWS-1_25_0m4,5,"(20, 20, 20, 20)","(22.623212891764133, 22.721729109257424, 22.823742943937134, 23.05944393126468)","(29.522805851602232, 30.640932840959167, 30.465823876710118, 30.072369375205945)","(46.484827176566405, 54.39089144665692, 54.90453289133451, 37.31466025078824)","(88.46653532824507, 125.42585662783166, 113.28507673419963, 48.68841697170258)","(88.46653532824507, 125.42585662783166, 113.28507673419963, 48.68841697170258)",
ASTRODF_0,CNTNEWS-1_25_0m4,6,"(20, 20, 20, 20)","(22.62321289176413, 22.721729109257424, 22.823742943937155, 23.059443931264664)","(29.522847305462395, 30.638561208403353, 30.465178498693792, 30.07570876055395)","(44.83040138288745, 54.10786175381507, 54.632402563765645, 41.57735984608855)","(83.74679797321171, 121.9390255437261, 119.05156218677732, 50.560650320879894)","(83.74679797321171, 121.9390255437261, 119.05156218677732, 50.560650320879894)",
ASTRODF_0,CNTNEWS-1_25_0m4,7,"(20, 20, 20, 20)","(22.623212914757392, 22.72172910262224, 22.823742937053268, 23.05944392380621)","(27.12852522029263, 27.39315736162338, 27.66914230469891, 28.20386494710714)","(38.69451678486089, 42.179951882627584, 42.782618771768014, 35.52050940525899)","(60.16745337726885, 75.64531058731637, 94.5862583773995, 45.84449253604849)","(60.16745337726885, 75.64531058731637, 94.5862583773995, 45.84449253604849)",
ASTRODF_0,CNTNEWS-1_25_0m4,8,"(20, 20, 20, 20)","(22.623212907092977, 22.721729104833962, 22.823742939347884, 23.059443926292378)","(29.310096994038716, 31.131244617512777, 30.605526021731624, 29.53325093063455)","(45.26281469347127, 53.90550572719029, 54.438737274018855, 42.19397156349008)","(80.87811136775304, 83.1527885661491, 144.90027137398766, 48.43402577637058)","(80.87811136775304, 83.1527885661491, 144.90027137398766, 48.43402577637058)",
ASTRODF_0,CNTNEWS-1_25_0m4,9,"(20, 20, 20, 20)","(22.62321290503123, 22.721729102694788, 22.823742831680626, 23.059444029335705)","(29.458805568062186, 30.7939258857713, 30.511045674431145, 29.909289433811907)","(44.85257295058725, 54.365024220898356, 54.92361077408381, 40.53632528265619)","(86.10053009604081, 123.04385539515735, 116.86214611262734, 50.10305716659239)","(86.10053009604081, 123.04385539515735, 116.86214611262734, 50.10305716659239)",
ASTRODF_28,CNTNEWS-1_5,0,"(20, 20, 20, 20)","(25.126319133061873, 21.411223755383467, 21.49939361532167, 21.050664097731314)","(29.922641553253563, 23.210271767700274, 23.422073186960258, 22.348661538958737)","(33.707712697457964, 25.73929671506202, 26.072294798059676, 24.317511777722085)","(36.669588836572274, 28.656796206354382, 29.170407963526078, 26.494656208048585)","(39.03228411983429, 31.783645220730687, 32.47171498803043, 28.810824330484305)","(40.81703742764055, 35.04594707151589, 35.95650586374183, 31.188018352620567)"
