solver,problem,mrep,,,,,,,
ASTRODF_0,CNTNEWS-1_25,9,248.8669343,261.1683602,292.3925179,358.5323011,404.4406864,420.4258812,
ASTRODF_0,CNTNEWS-1_5_0m4,0,134.9604248,155.3975675,188.5072166,233.3730375,291.2102133,291.2102133,
ASTRODF_0,CNTNEWS-1_5_0m4,1,134.9604248,155.4237975,189.0267782,235.7499953,292.4462889,292.4462889,
ASTRODF_0,CNTNEWS-1_5_0m4,2,134.9604248,155.3769255,188.1179226,229.9056897,285.9894549,302.1169405,
ASTRODF_0,CNTNEWS-1_5_0m4,3,134.9604248,155.3249747,187.6723388,226.2580476,284.4747935,302.2662978,
ASTRODF_0,CNTNEWS-1_5_0m4,4,134.9604248,155.3588443,187.9742371,231.0400636,288.3399563,288.3399563,
ASTRODF_0,CNTNEWS-1_5_0m4,5,134.9604248,155.4086293,188.4756104,231.0759321,288.2997697,288.2997697,
ASTRODF_0,CNTNEWS-1_5_0m4,6,134.9604248,155.4695557,189.2536653,237.6520674,294.3913883,315.6418595,
ASTRODF_0,CNTNEWS-1_5_0m4,7,134.9604248,155.5321781,190.114496,241.3234842,294.6673603,294.6673603,
ASTRODF_0,CNTNEWS-1_5_0m4,8,134.9604248,155.4631861,189.2312675,237.1301495,277.683943,277.683943,
ASTRODF_0,CNTNEWS-1_5_0m4,9,134.9604248,155.5120302,189.6965847,238.9385154,295.1233544,295.1233544,
ASTRODF_0,CNTNEWS-1_9_0m4,0,235.2737978,244.2046125,259.0877142,262.1486595,295.678886,345.5449568,
ASTRODF_0,CNTNEWS-1_9_0m4,1,235.2737978,244.2046125,250.5706282,250.5706282,,,
ASTRODF_0,CNTNEWS-1_9_0m4,2,235.2737978,244.2046125,253.9717121,277.5224528,298.8619621,,
ASTRODF_0,CNTNEWS-1_9_0m4,3,235.2737978,244.2063491,250.5784556,250.5784556,,,
ASTRODF_0,CNTNEWS-1_9_0m4,4,235.2737978,244.2000138,253.9871248,278.1625678,324.9034381,,
ASTRODF_0,CNTNEWS-1_9_0m4,5,235.2737978,244.2046125,266.8935316,313.9412939,331.3521947,331.3521947,
ASTRODF_0,CNTNEWS-1_9_0m4,6,235.2737978,244.2046125,253.971712,277.1954051,324.3394903,,
ASTRODF_0,CNTNEWS-1_9_0m4,7,235.2737978,244.2046125,253.9717121,276.5728172,298.6862295,,
ASTRODF_0,CNTNEWS-1_9_0m4,8,235.2737978,244.2046125,253.9717121,278.039983,298.4395439,,
ASTRODF_0,CNTNEWS-1_9_0m4,9,235.2737978,244.2046122,259.0877149,293.4926875,347.2646019,345.7116867,
ASTRODF_0,CNTNEWS-1_25_0m4,0,238.9862453,249.7362622,277.3905303,339.1329831,371.9397667,363.4143459,363.4143459
ASTRODF_0,CNTNEWS-1_25_0m4,1,238.9862453,249.7362622,277.3256484,338.7357952,371.0487313,360.8876494,348.272792
ASTRODF_0,CNTNEWS-1_25_0m4,2,238.9862453,249.7362622,277.2537298,338.8875866,381.7029571,381.7029571,
ASTRODF_0,CNTNEWS-1_25_0m4,3,238.9862453,249.7377052,277.4217713,338.7765377,369.2679971,380.9125684,
ASTRODF_0,CNTNEWS-1_25_0m4,4,238.9862453,249.7325781,277.4690153,333.4299959,342.4247327,389.7987524,
ASTRODF_0,CNTNEWS-1_25_0m4,5,238.9862453,249.7362622,277.4320514,338.7588117,369.0577061,369.0577061,
ASTRODF_0,CNTNEWS-1_25_0m4,6,238.9862453,249.7362622,277.4320376,339.3242032,372.3491281,372.3491281,
ASTRODF_0,CNTNEWS-1_25_0m4,7,238.9862453,249.7362622,267.8430554,311.7198374,384.886181,384.886181,
ASTRODF_0,CNTNEWS-1_25_0m4,8,238.9862453,249.7362622,277.3482089,339.2167429,382.6667651,382.6667651,
ASTRODF_0,CNTNEWS-1_25_0m4,9,238.9862453,249.7362621,277.4181566,339.5372797,371.0115841,371.0115841,
ASTRODF_28,CNTNEWS-1_5,0,155.1968265,176.499161,191.6861026,204.2654107,215.9171258,226.9614166,237.6044538
ASTRODF_28,CNTNEWS-1_5,1,155.1968265,176.5369842,192.0574825,204.8991579,216.7751117,227.934961,238.4955592
ASTRODF_28,CNTNEWS-1_5,2,155.1968265,176.4695545,191.4939002,203.9330225,215.5496311,226.577297,237.1374285
ASTRODF_28,CNTNEWS-1_5,3,155.1968265,176.3890577,191.3107515,203.3287789,214.3751612,225.0497578,225.0497578
ASTRODF_28,CNTNEWS-1_5,4,155.1968265,176.4221283,191.2876493,203.6940698,215.2947526,226.3657283,236.9732971
ASTRODF_28,CNTNEWS-1_5,5,155.1968265,176.515091,191.7783107,204.171123,215.6731818,226.5453343,236.909533
ASTRODF_28,CNTNEWS-1_5,6,155.1968265,176.6035022,192.2567334,205.0618705,216.8486104,227.9745947,238.6743391
ASTRODF_28,CNTNEWS-1_5,7,155.1968265,176.6821791,192.6593485,205.6107945,217.6653986,229.0681289,239.9335047
ASTRODF_28,CNTNEWS-1_5,8,155.1968265,176.594199,192.1451873,204.9873637,216.8834333,228.1394591,228.1394591
ASTRODF_28,CNTNEWS-1_5,9,155.1968265,176.6607058,192.468432,205.2503512,217.0035038,228.1185988,238.8090588
ASTRODF_28,CNTNEWS-1_9,0,246.622314,257.5427863,268.2137181,278.4661438,287.5631266,295.5251043,302.329689
ASTRODF_28,CNTNEWS-1_9,1,246.622314,257.5427863,268.2137158,278.4661471,287.5964382,295.6077529,302.9974233
ASTRODF_28,CNTNEWS-1_9,2,246.622314,257.5427863,268.224705,278.521318,288.072872,296.6757183,304.7372648
ASTRODF_28,CNTNEWS-1_9,3,246.622314,257.544766,268.2292309,278.5258523,288.0200507,296.5419266,304.5555103
ASTRODF_28,CNTNEWS-1_9,4,246.622314,257.5446972,268.2331118,278.5235578,288.1900292,296.8786704,304.8222809
ASTRODF_28,CNTNEWS-1_9,5,246.622314,257.5427863,268.2137158,278.4926488,287.8618098,296.3780528,304.3408766
ASTRODF_28,CNTNEWS-1_9,6,246.622314,257.5427863,268.2247024,278.5122893,287.9127085,296.3344601,304.0804941
ASTRODF_28,CNTNEWS-1_9,7,246.622314,257.5427854,264.8108831,271.891946,278.7383578,278.7383578,
ASTRODF_28,CNTNEWS-1_9,8,246.622314,257.5427854,268.224705,278.5154155,287.8925009,296.274919,304.0811125
ASTRODF_28,CNTNEWS-1_9,9,246.622314,257.5427863,268.2137168,278.4661471,287.5631295,295.9179041,303.633664
ASTRODF_28,CNTNEWS-1_25,0,248.8669343,261.1683592,273.3022865,285.1063715,296.3484314,306.7254058,316.5949784
ASTRODF_28,CNTNEWS-1_25,1,248.8669343,261.1683592,273.3022861,285.1063747,296.3053263,306.6427182,316.4113429
ASTRODF_28,CNTNEWS-1_25,2,248.8669343,261.1683592,273.3103651,285.1509426,296.5234098,307.2491835,317.3920336
ASTRODF_28,CNTNEWS-1_25,3,248.8669343,261.1692844,273.3181773,285.1658326,296.5488742,307.2160204,317.2300707
ASTRODF_28,CNTNEWS-1_25,4,248.8669343,261.1659786,273.3103232,285.1756752,296.6896925,307.5291855,317.6133621
ASTRODF_28,CNTNEWS-1_25,5,248.8669343,261.1683592,273.3022861,285.1215448,296.4189522,306.9820721,316.9828904
ASTRODF_28,CNTNEWS-1_25,6,248.8669343,261.1683592,273.3022865,285.1261643,296.4272558,306.9439837,316.8414354
ASTRODF_28,CNTNEWS-1_25,7,248.8669343,261.1683592,273.302285,284.0445672,295.3168004,306.0202516,316.1985537
ASTRODF_28,CNTNEWS-1_25,8,248.8669343,261.1683592,273.310365,285.1409612,296.4536455,306.9426629,316.477049
ASTRODF_28,CNTNEWS-1_25,9,248.8669343,261.1683602,273.3022859,285.1313842,296.4479463,306.9970873,316.9971496
ASTRODF_28,CNTNEWS-1_5_0m4,0,134.9604248,155.3975675,170.4219199,182.8552598,194.1658774,204.7122174,214.7285346
ASTRODF_28,CNTNEWS-1_5_0m4,1,134.9604248,155.4237975,170.661648,183.2939177,194.7607148,205.3638661,205.3638661
ASTRODF_28,CNTNEWS-1_5_0m4,2,134.9604248,155.3769255,170.2839395,182.5885445,193.8645902,204.3438696,204.3438696
ASTRODF_28,CNTNEWS-1_5_0m4,3,134.9604248,155.3249747,170.1526427,182.2553478,193.0932322,203.1268635,203.1268635
ASTRODF_28,CNTNEWS-1_5_0m4,4,134.9604248,155.3588443,170.1888865,182.5555171,193.8744436,204.4162854,214.3493811
ASTRODF_28,CNTNEWS-1_5_0m4,5,134.9604248,155.4086293,170.4784899,182.8032157,193.9846514,204.2443267,213.8504808
ASTRODF_28,CNTNEWS-1_5_0m4,6,134.9604248,155.4695557,170.7816763,183.3876976,194.8216313,205.4391651,215.4875702
ASTRODF_28,CNTNEWS-1_5_0m4,7,134.9604248,155.5321781,171.0558294,183.8766935,195.5254885,206.3418398,216.6452986
ASTRODF_28,CNTNEWS-1_5_0m4,8,134.9604248,155.4631861,170.707727,183.3783336,194.925089,205.7443726,205.7443726
ASTRODF_28,CNTNEWS-1_5_0m4,9,134.9604248,155.5120302,170.9291053,183.5099695,194.9423084,205.5902619,215.7398295
ASTRODF_28,CNTNEWS-1_9_0m4,0,235.2737978,244.2046125,253.0283253,261.5841495,269.8199356,277.4920719,284.5719436
ASTRODF_28,CNTNEWS-1_9_0m4,1,235.2737978,244.2046125,253.0283253,261.5841495,269.727992,277.1511536,283.9969121
ASTRODF_28,CNTNEWS-1_9_0m4,2,235.2737978,244.2046125,253.0283259,261.6265323,269.9538549,277.6376117,284.7419504
ASTRODF_28,CNTNEWS-1_9_0m4,3,235.2737978,244.2063491,253.0356705,261.6576439,270.0209339,277.8864166,285.1657094
ASTRODF_28,CNTNEWS-1_9_0m4,4,235.2737978,244.2000138,253.0053553,261.6146927,269.9982766,278.163773,285.7189884
ASTRODF_28,CNTNEWS-1_9_0m4,5,235.2737978,244.2046125,253.0283594,261.6016284,269.9068944,277.6737176,284.8735709
ASTRODF_28,CNTNEWS-1_9_0m4,6,235.2737978,244.2046125,252.9968961,261.6284667,269.9777045,277.7643733,284.9235374
ASTRODF_28,CNTNEWS-1_9_0m4,7,235.2737978,244.2046125,253.0283265,261.5841483,269.1500537,276.8526999,284.1671868
ASTRODF_28,CNTNEWS-1_9_0m4,8,235.2737978,244.2046125,253.0283253,261.6246833,269.9423121,277.7038653,284.8089403
ASTRODF_28,CNTNEWS-1_9_0m4,9,235.2737978,244.2046122,253.0283261,261.5841481,269.7280239,277.0548538,283.4759977
ASTRODF_28,CNTNEWS-1_25_0m4,0,238.9862453,249.7362622,260.4050922,270.8983657,281.1420882,290.9329329,300.1047859
ASTRODF_28,CNTNEWS-1_25_0m4,1,238.9862453,249.7362622,260.4050922,270.8983657,281.1420886,290.8604599,299.8941436
ASTRODF_28,CNTNEWS-1_25_0m4,2,238.9862453,249.7362622,260.4050922,270.9165429,281.2250036,291.2404589,300.6792614
ASTRODF_28,CNTNEWS-1_25_0m4,3,238.9862453,249.7377052,260.4113122,270.940726,281.270714,291.3168609,300.8745938
ASTRODF_28,CNTNEWS-1_25_0m4,4,238.9862453,249.7325781,260.3933054,270.9176136,281.2667025,291.3871904,301.0856775
ASTRODF_28,CNTNEWS-1_25_0m4,5,238.9862453,249.7362622,260.4050922,270.8983653,281.1798056,291.063629,300.4787421
ASTRODF_28,CNTNEWS-1_25_0m4,6,238.9862453,249.7362622,260.4050922,270.9165429,281.2120537,291.1318277,300.4694963
ASTRODF_28,CNTNEWS-1_25_0m4,7,238.9862453,249.7362622,260.4050921,270.9180429,281.2264107,291.1771195,300.4806671
ASTRODF_28,CNTNEWS-1_25_0m4,8,238.9862453,249.7362622,260.4050924,270.9141645,281.2063525,291.0882524,300.2905016
ASTRODF_28,CNTNEWS-1_25_0m4,9,238.9862453,249.7362621,260.4050925,270.898366,281.1768675,291.0562774,300.4641783
