DesignPt#,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,MacroRep#,profit,stockout_qty,stockout
10,85,9.0,1.0,0.5,2.0,20.0,4,-41.345636095151285,0,0
11,79,9.0,1.0,0.5,2.0,20.0,0,-38.339588562862474,0,0
11,79,9.0,1.0,0.5,2.0,20.0,1,-38.15703178763754,0,0
11,79,9.0,1.0,0.5,2.0,20.0,2,-37.73754834308219,0,0
11,79,9.0,1.0,0.5,2.0,20.0,3,-36.80761381997675,0,0
11,79,9.0,1.0,0.5,2.0,20.0,4,-38.345636095151285,0,0
12,74,9.0,1.0,0.5,2.0,20.0,0,-35.839588562862474,0,0
12,74,9.0,1.0,0.5,2.0,20.0,1,-35.65703178763754,0,0
12,74,9.0,1.0,0.5,2.0,20.0,2,-35.23754834308219,0,0
12,74,9.0,1.0,0.5,2.0,20.0,3,-34.30761381997675,0,0
12,74,9.0,1.0,0.5,2.0,20.0,4,-35.845636095151285,0,0
13,26,9.0,1.0,0.5,2.0,20.0,0,-11.839588562862474,0,0
13,26,9.0,1.0,0.5,2.0,20.0,1,-11.65703178763754,0,0
13,26,9.0,1.0,0.5,2.0,20.0,2,-11.237548343082192,0,0
13,26,9.0,1.0,0.5,2.0,20.0,3,-10.30761381997675,0,0
13,26,9.0,1.0,0.5,2.0,20.0,4,-11.845636095151287,0,0
14,4,9.0,1.0,0.5,2.0,20.0,0,-0.8395885628624731,0,0
14,4,9.0,1.0,0.5,2.0,20.0,1,-0.6570317876375407,0,0
14,4,9.0,1.0,0.5,2.0,20.0,2,-0.23754834308219142,0,0
14,4,9.0,1.0,0.5,2.0,20.0,3,0.69238618002325,0,0
14,4,9.0,1.0,0.5,2.0,20.0,4,-0.8456360951512871,0,0
15,36,9.0,1.0,0.5,2.0,20.0,0,-16.839588562862474,0,0
15,36,9.0,1.0,0.5,2.0,20.0,1,-16.65703178763754,0,0
15,36,9.0,1.0,0.5,2.0,20.0,2,-16.237548343082192,0,0
15,36,9.0,1.0,0.5,2.0,20.0,3,-15.30761381997675,0,0
15,36,9.0,1.0,0.5,2.0,20.0,4,-16.84563609515129,0,0
16,42,9.0,1.0,0.5,2.0,20.0,0,-19.839588562862474,0,0
16,42,9.0,1.0,0.5,2.0,20.0,1,-19.65703178763754,0,0
16,42,9.0,1.0,0.5,2.0,20.0,2,-19.237548343082192,0,0
16,42,9.0,1.0,0.5,2.0,20.0,3,-18.30761381997675,0,0
16,42,9.0,1.0,0.5,2.0,20.0,4,-19.84563609515129,0,0
