DesignPt#,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,MacroRep#,profit,stockout_qty,stockout
14,5.0,16.88,1.0,0.5,2.0,20.0,0,-0.6890832972820093,0,0
14,5.0,16.88,1.0,0.5,2.0,20.0,1,-0.3267080984605184,0,0
14,5.0,16.88,1.0,0.5,2.0,20.0,2,0.5059665389818502,0,0
14,5.0,16.88,1.0,0.5,2.0,20.0,3,2.351886567346151,0,0
14,5.0,16.88,1.0,0.5,2.0,20.0,4,-0.7010876488753051,0,0
15,5.75,18.13,1.0,0.5,2.0,20.0,0,-0.9608940102292705,0,0
15,5.75,18.13,1.0,0.5,2.0,20.0,1,-0.5699943152788842,0,0
15,5.75,18.13,1.0,0.5,2.0,20.0,2,0.3282246103752575,0,0
15,5.75,18.13,1.0,0.5,2.0,20.0,3,2.3194469079747844,0,0
15,5.75,18.13,1.0,0.5,2.0,20.0,4,-0.9738432887426938,0,0
16,5.875,11.25,1.0,0.5,2.0,20.0,0,-1.5913478461675437,0,0
16,5.875,11.25,1.0,0.5,2.0,20.0,1,-1.3574469779105989,0,0
16,5.875,11.25,1.0,0.5,2.0,20.0,2,-0.8199838145740577,0,0
16,5.875,11.25,1.0,0.5,2.0,20.0,3,0.37149479315478917,0,0
16,5.875,11.25,1.0,0.5,2.0,20.0,4,-1.5990962469125867,0,0
