DesignPt#,demand_mean,lead_mean,backorder_cost,holding_cost,fixed_cost,variable_cost,s,S,n_days,warmup,MacroRep#,avg_backorder_costs,avg_order_costs,avg_holding_costs,on_time_rate,order_rate,stockout_rate,avg_stockout,avg_order
5,100,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,24.702839857944603,223.1229957855399,725.4951663720922,0.9419025814229184,0.1,0.08,123.14735327331277,1097.6149789276997
5,100,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,35.41042105830193,172.10434265105084,893.2118444965689,0.8959424466459988,0.08,0.07,501.1302819260127,1057.6521415690677
6,78,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,152.14200707060078,985.9706175997015,1.0,0.07,0.0,0,1068.7286219328628
6,78,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,5.00370548818444,134.74755902650358,1015.8822007607622,0.9811487715486429,0.06,0.04,69.21472061745081,1104.8963252208632
7,74,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,156.92909547816996,1058.5716429298022,1.0,0.07,0.0,0,1102.9221105583567
7,74,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,126.65923844217349,935.0101600222624,1.0,0.06,0.0,0,1037.4936536847792
8,70,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,148.58265788475538,1118.41310141322,1.0,0.07,0.0,0,1043.304699176824
8,70,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,127.25155179995797,930.5194778698575,1.0,0.06,0.0,0,1042.429598332983
9,81,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.5511165278278497,156.47895734017908,957.3050467258847,0.9983998217255968,0.07,0.01,13.777913195696499,1099.706838144136
9,81,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,14.948931959563913,132.6365879332117,951.2027091241425,0.9457664958897966,0.06,0.06,269.46644901862277,1087.304899443431
10,96,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,10.605005105483542,214.34207595411834,771.5668939580615,0.9740193745533398,0.1,0.05,90.98501944486884,1053.7103797705918
10,96,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,25.90865500389098,155.7278927324914,908.7559795848567,0.9206921540260543,0.07,0.05,410.54037702940116,1094.342090946367
11,93,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,33.02577643560959,198.320522768472,849.9921915538916,0.9164820085878934,0.09,0.08,199.31651157900598,1083.7806820470666
11,93,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,29.856395008933433,159.89863866547725,924.1069700131962,0.9056597682310118,0.07,0.07,285.56194431662914,1124.1331333248374
12,89,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,23.889016433316687,199.37445276066907,852.4999777112799,0.936872554511617,0.09,0.04,181.13494701938154,1089.6358486703837
12,89,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,19.25597888952801,153.12966495943522,967.1459307514434,0.9364203527625506,0.07,0.05,247.52814558672767,1075.7833211388229
13,55,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,126.15703052380222,1148.9026820567808,1.0,0.06,0.0,0,1033.3085876983519
13,55,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,82.98100043381402,1227.9086578525778,1.0,0.04,0.0,0,1019.2625054226752
14,40,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,85.51077505923331,1247.0732325180752,1.0,0.04,0.0,0,1050.8846882404166
14,40,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,68.89160683989248,1276.1749957176025,1.0,0.03,0.0,0,1130.1934473315412
15,63,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,148.37585812271803,1138.3824972522898,1.0,0.07,0.0,0,1041.8275580194145
15,63,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,106.73887542806737,1108.3753628116856,1.0,0.05,0.0,0,1049.3887542806735
16,66,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,134.77773405873128,1109.567876653447,1.0,0.06,0.0,0,1105.1477838227609
16,66,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,129.00208570645032,1103.1418905027458,1.0,0.06,0.0,0,1057.0173808870857
17,100,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,24.702839857944603,223.1229957855399,725.4951663720922,0.9419025814229184,0.1,0.08,123.14735327331277,1097.6149789276997
17,100,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,35.41042105830193,172.10434265105084,893.2118444965689,0.8959424466459988,0.08,0.07,501.1302819260127,1057.6521415690677
18,55,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,126.15703052380222,1148.9026820567808,1.0,0.06,0.0,0,1033.3085876983519
18,55,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,82.98100043381402,1227.9086578525778,1.0,0.04,0.0,0,1019.2625054226752
19,66,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,134.77773405873128,1109.567876653447,1.0,0.06,0.0,0,1105.1477838227609
19,66,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,129.00208570645032,1103.1418905027458,1.0,0.06,0.0,0,1057.0173808870857
20,78,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,152.14200707060078,985.9706175997015,1.0,0.07,0.0,0,1068.7286219328628
20,78,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,5.00370548818444,134.74755902650358,1015.8822007607622,0.9811487715486429,0.06,0.04,69.21472061745081,1104.8963252208632
21,96,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,10.605005105483542,214.34207595411834,771.5668939580615,0.9740193745533398,0.1,0.05,90.98501944486884,1053.7103797705918
21,96,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,25.90865500389098,155.7278927324914,908.7559795848567,0.9206921540260543,0.07,0.05,410.54037702940116,1094.342090946367
22,59,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,132.3458961434621,1112.8377373191372,1.0,0.06,0.0,0,1084.8824678621843
22,59,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,109.88007106539928,1069.3034855856752,1.0,0.05,0.0,0,1080.800710653993
23,51,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,124.17352927042884,1155.3475963281303,1.0,0.06,0.0,0,1016.7794105869071
23,51,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,84.13447828833577,1211.7142750057817,1.0,0.04,0.0,0,1033.6809786041972
24,93,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,33.02577643560959,198.320522768472,849.9921915538916,0.9164820085878934,0.09,0.08,199.31651157900598,1083.7806820470666
24,93,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,29.856395008933433,159.89863866547725,924.1069700131962,0.9056597682310118,0.07,0.07,285.56194431662914,1124.1331333248374
25,40,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,85.51077505923331,1247.0732325180752,1.0,0.04,0.0,0,1050.8846882404166
25,40,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,68.89160683989248,1276.1749957176025,1.0,0.03,0.0,0,1130.1934473315412
26,85,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,25.626583167830766,174.34652721043952,872.6075480370524,0.9290942047642854,0.08,0.06,170.5248856293961,1071.6657950652468
26,85,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,21.49430923631576,151.05820632647274,904.2544150904671,0.9256900299131192,0.07,0.07,204.199358720228,1060.9871880462338
27,74,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,156.92909547816996,1058.5716429298022,1.0,0.07,0.0,0,1102.9221105583567
27,74,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,126.65923844217349,935.0101600222624,1.0,0.06,0.0,0,1037.4936536847792
28,63,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,148.37585812271803,1138.3824972522898,1.0,0.07,0.0,0,1041.8275580194145
28,63,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,106.73887542806737,1108.3753628116856,1.0,0.05,0.0,0,1049.3887542806735
29,44,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,105.77127278473763,1194.612463474526,1.0,0.05,0.0,0,1039.7127278473763
29,44,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,62.17113143147489,1244.7223732814132,1.0,0.03,0.0,0,1018.1855238579147
30,81,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.5511165278278497,156.47895734017908,957.3050467258847,0.9983998217255968,0.07,0.01,13.777913195696499,1099.706838144136
30,81,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,14.948931959563913,132.6365879332117,951.2027091241425,0.9457664958897966,0.06,0.06,269.46644901862277,1087.304899443431
31,89,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,23.889016433316687,199.37445276066907,852.4999777112799,0.936872554511617,0.09,0.04,181.13494701938154,1089.6358486703837
31,89,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,19.25597888952801,153.12966495943522,967.1459307514434,0.9364203527625506,0.07,0.05,247.52814558672767,1075.7833211388229
32,48,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,105.18128528166434,1155.2734005345294,1.0,0.05,0.0,0,1033.8128528166435
32,48,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,84.78113139328843,1201.383428362558,1.0,0.04,0.0,0,1041.7641424161054
33,89,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,23.889016433316687,199.37445276066907,852.4999777112799,0.936872554511617,0.09,0.04,181.13494701938154,1089.6358486703837
33,89,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,19.25597888952801,153.12966495943522,967.1459307514434,0.9364203527625506,0.07,0.05,247.52814558672767,1075.7833211388229
34,93,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,33.02577643560959,198.320522768472,849.9921915538916,0.9164820085878934,0.09,0.08,199.31651157900598,1083.7806820470666
34,93,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,29.856395008933433,159.89863866547725,924.1069700131962,0.9056597682310118,0.07,0.07,285.56194431662914,1124.1331333248374
35,44,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,105.77127278473763,1194.612463474526,1.0,0.05,0.0,0,1039.7127278473763
35,44,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,62.17113143147489,1244.7223732814132,1.0,0.03,0.0,0,1018.1855238579147
36,59,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,132.3458961434621,1112.8377373191372,1.0,0.06,0.0,0,1084.8824678621843
36,59,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,109.88007106539928,1069.3034855856752,1.0,0.05,0.0,0,1080.800710653993
37,66,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,134.77773405873128,1109.567876653447,1.0,0.06,0.0,0,1105.1477838227609
37,66,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,129.00208570645032,1103.1418905027458,1.0,0.06,0.0,0,1057.0173808870857
38,63,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,148.37585812271803,1138.3824972522898,1.0,0.07,0.0,0,1041.8275580194145
38,63,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,106.73887542806737,1108.3753628116856,1.0,0.05,0.0,0,1049.3887542806735
39,100,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,24.702839857944603,223.1229957855399,725.4951663720922,0.9419025814229184,0.1,0.08,123.14735327331277,1097.6149789276997
39,100,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,35.41042105830193,172.10434265105084,893.2118444965689,0.8959424466459988,0.08,0.07,501.1302819260127,1057.6521415690677
40,85,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,25.626583167830766,174.34652721043952,872.6075480370524,0.9290942047642854,0.08,0.06,170.5248856293961,1071.6657950652468
40,85,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,21.49430923631576,151.05820632647274,904.2544150904671,0.9256900299131192,0.07,0.07,204.199358720228,1060.9871880462338
41,51,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,124.17352927042884,1155.3475963281303,1.0,0.06,0.0,0,1016.7794105869071
41,51,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,84.13447828833577,1211.7142750057817,1.0,0.04,0.0,0,1033.6809786041972
42,48,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,105.18128528166434,1155.2734005345294,1.0,0.05,0.0,0,1033.8128528166435
42,48,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,84.78113139328843,1201.383428362558,1.0,0.04,0.0,0,1041.7641424161054
43,96,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,10.605005105483542,214.34207595411834,771.5668939580615,0.9740193745533398,0.1,0.05,90.98501944486884,1053.7103797705918
43,96,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,25.90865500389098,155.7278927324914,908.7559795848567,0.9206921540260543,0.07,0.05,410.54037702940116,1094.342090946367
44,81,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.5511165278278497,156.47895734017908,957.3050467258847,0.9983998217255968,0.07,0.01,13.777913195696499,1099.706838144136
44,81,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,14.948931959563913,132.6365879332117,951.2027091241425,0.9457664958897966,0.06,0.06,269.46644901862277,1087.304899443431
45,74,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,156.92909547816996,1058.5716429298022,1.0,0.07,0.0,0,1102.9221105583567
45,74,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,126.65923844217349,935.0101600222624,1.0,0.06,0.0,0,1037.4936536847792
46,78,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,152.14200707060078,985.9706175997015,1.0,0.07,0.0,0,1068.7286219328628
46,78,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,5.00370548818444,134.74755902650358,1015.8822007607622,0.9811487715486429,0.06,0.04,69.21472061745081,1104.8963252208632
47,40,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,85.51077505923331,1247.0732325180752,1.0,0.04,0.0,0,1050.8846882404166
47,40,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,68.89160683989248,1276.1749957176025,1.0,0.03,0.0,0,1130.1934473315412
48,55,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,0,0.0,126.15703052380222,1148.9026820567808,1.0,0.06,0.0,0,1033.3085876983519
48,55,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,100,20,1,0.0,82.98100043381402,1227.9086578525778,1.0,0.04,0.0,0,1019.2625054226752
