DesignPt#,n_days,initial_inv,cost_reg,cost_exp,lead_reg,lead_exp,holding_cost,penalty_cost,st_dev,mu,order_level_reg,order_level_exp,MacroRep#,average_ordering_cost,average_penalty_cost,average_holding_cost
19,1000,50,116,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3424.324,49.005,100.91
19,1000,50,116,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3398.416,35.64,101.69
19,1000,50,116,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3403.248,49.005,102.065
20,1000,50,144,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3762.354,50.49,104.43
20,1000,50,144,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3806.128,41.58,102.775
20,1000,50,144,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3838.696,49.005,100.91
20,1000,50,144,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3813.544,35.64,101.69
20,1000,50,144,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3817.312,49.005,102.065
21,1000,50,191,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,4457.296,50.49,104.43
21,1000,50,191,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,4499.237,41.58,102.775
21,1000,50,191,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,4534.249,49.005,100.91
21,1000,50,191,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,4510.366,35.64,101.69
21,1000,50,191,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,4512.348,49.005,102.065
22,1000,50,97,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3067.412,50.49,104.43
22,1000,50,97,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3113.019,41.58,102.775
22,1000,50,97,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3143.143,49.005,100.91
22,1000,50,97,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3116.722,35.64,101.69
22,1000,50,97,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3122.276,49.005,102.065
23,1000,50,78,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,2786.478,50.49,104.43
23,1000,50,78,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,2832.826,41.58,102.775
23,1000,50,78,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,2861.962,49.005,100.91
23,1000,50,78,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,2835.028,35.64,101.69
23,1000,50,78,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,2841.304,49.005,102.065
24,1000,50,181,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,4309.436,50.49,104.43
24,1000,50,181,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,4351.767,41.58,102.775
24,1000,50,181,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,4386.259,49.005,100.91
24,1000,50,181,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,4362.106,35.64,101.69
24,1000,50,181,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,4364.468,49.005,102.065
25,1000,50,50,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,2372.47,50.49,104.43
25,1000,50,50,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,2419.91,41.58,102.775
25,1000,50,50,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,2447.59,49.005,100.91
25,1000,50,50,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,2419.9,35.64,101.69
25,1000,50,50,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,2427.24,49.005,102.065
26,1000,50,163,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,4043.288,50.49,104.43
26,1000,50,163,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,4086.321,41.58,102.775
26,1000,50,163,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,4119.877,49.005,100.91
26,1000,50,163,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,4095.238,35.64,101.69
26,1000,50,163,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,4098.284,49.005,102.065
27,1000,50,134,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3614.494,50.49,104.43
27,1000,50,134,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3658.658,41.58,102.775
27,1000,50,134,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3690.706,49.005,100.91
27,1000,50,134,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3665.284,35.64,101.69
27,1000,50,134,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3669.432,49.005,102.065
28,1000,50,106,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3200.486,50.49,104.43
28,1000,50,106,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3245.742,41.58,102.775
28,1000,50,106,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3276.334,49.005,100.91
28,1000,50,106,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3250.156,35.64,101.69
28,1000,50,106,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3255.368,49.005,102.065
29,1000,50,59,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,2505.544,50.49,104.43
29,1000,50,59,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,2552.633,41.58,102.775
29,1000,50,59,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,2580.781,49.005,100.91
29,1000,50,59,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,2553.334,35.64,101.69
29,1000,50,59,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,2560.332,49.005,102.065
30,1000,50,153,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3895.428,50.49,104.43
30,1000,50,153,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3938.851,41.58,102.775
30,1000,50,153,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3971.887,49.005,100.91
30,1000,50,153,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3946.978,35.64,101.69
30,1000,50,153,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3950.404,49.005,102.065
31,1000,50,172,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,4176.362,50.49,104.43
31,1000,50,172,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,4219.044,41.58,102.775
31,1000,50,172,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,4253.068,49.005,100.91
31,1000,50,172,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,4228.672,35.64,101.69
31,1000,50,172,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,4231.376,49.005,102.065
32,1000,50,69,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,2653.404,50.49,104.43
32,1000,50,69,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,2700.103,41.58,102.775
32,1000,50,69,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,2728.771,49.005,100.91
32,1000,50,69,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,2701.594,35.64,101.69
32,1000,50,69,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,2708.212,49.005,102.065
