DesignPt#,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,MacroRep#,profit,stockout_qty,stockout
8,47,14.0,1.0,0.5,2.0,20.0,3,-19.437372457462217,0,0
8,47,14.0,1.0,0.5,2.0,20.0,4,-21.936658654620842,0,0
9,63,14.0,1.0,0.5,2.0,20.0,0,-29.92683141465152,0,0
9,63,14.0,1.0,0.5,2.0,20.0,1,-29.630176654911004,0,0
9,63,14.0,1.0,0.5,2.0,20.0,2,-28.94851605750856,0,0
9,63,14.0,1.0,0.5,2.0,20.0,3,-27.437372457462217,0,0
9,63,14.0,1.0,0.5,2.0,20.0,4,-29.936658654620842,0,0
10,85,14.0,1.0,0.5,2.0,20.0,0,-40.92683141465152,0,0
10,85,14.0,1.0,0.5,2.0,20.0,1,-40.630176654911004,0,0
10,85,14.0,1.0,0.5,2.0,20.0,2,-39.94851605750856,0,0
10,85,14.0,1.0,0.5,2.0,20.0,3,-38.43737245746222,0,0
10,85,14.0,1.0,0.5,2.0,20.0,4,-40.93665865462084,0,0
11,79,14.0,1.0,0.5,2.0,20.0,0,-37.92683141465152,0,0
11,79,14.0,1.0,0.5,2.0,20.0,1,-37.630176654911004,0,0
11,79,14.0,1.0,0.5,2.0,20.0,2,-36.94851605750856,0,0
11,79,14.0,1.0,0.5,2.0,20.0,3,-35.43737245746222,0,0
11,79,14.0,1.0,0.5,2.0,20.0,4,-37.93665865462084,0,0
12,74,14.0,1.0,0.5,2.0,20.0,0,-35.42683141465152,0,0
12,74,14.0,1.0,0.5,2.0,20.0,1,-35.130176654911004,0,0
12,74,14.0,1.0,0.5,2.0,20.0,2,-34.44851605750856,0,0
12,74,14.0,1.0,0.5,2.0,20.0,3,-32.93737245746222,0,0
12,74,14.0,1.0,0.5,2.0,20.0,4,-35.43665865462084,0,0
13,26,14.0,1.0,0.5,2.0,20.0,0,-11.426831414651518,0,0
13,26,14.0,1.0,0.5,2.0,20.0,1,-11.130176654911004,0,0
13,26,14.0,1.0,0.5,2.0,20.0,2,-10.448516057508561,0,0
13,26,14.0,1.0,0.5,2.0,20.0,3,-8.937372457462219,0,0
13,26,14.0,1.0,0.5,2.0,20.0,4,-11.436658654620842,0,0
14,4,14.0,1.0,0.5,2.0,20.0,0,-0.42683141465151886,0,0
14,4,14.0,1.0,0.5,2.0,20.0,1,-0.1301766549110035,0,0
14,4,14.0,1.0,0.5,2.0,20.0,2,0.5514839424914393,0,0
14,4,14.0,1.0,0.5,2.0,20.0,3,2.062627542537781,0,0
14,4,14.0,1.0,0.5,2.0,20.0,4,-0.43665865462084175,0,0
15,36,14.0,1.0,0.5,2.0,20.0,0,-16.42683141465152,0,0
15,36,14.0,1.0,0.5,2.0,20.0,1,-16.130176654911004,0,0
15,36,14.0,1.0,0.5,2.0,20.0,2,-15.448516057508561,0,0
15,36,14.0,1.0,0.5,2.0,20.0,3,-13.937372457462219,0,0
15,36,14.0,1.0,0.5,2.0,20.0,4,-16.436658654620842,0,0
16,42,14.0,1.0,0.5,2.0,20.0,0,-19.42683141465152,0,0
16,42,14.0,1.0,0.5,2.0,20.0,1,-19.130176654911004,0,0
16,42,14.0,1.0,0.5,2.0,20.0,2,-18.44851605750856,0,0
16,42,14.0,1.0,0.5,2.0,20.0,3,-16.937372457462217,0,0
16,42,14.0,1.0,0.5,2.0,20.0,4,-19.436658654620842,0,0
